"year","barkbeetle","wind","landscape_volume_yearstart","impact","relimpact","model","mgm","rcp","windcase"
26,1.16103692741316,0,265.562777413129,1.16103692741316,0.437198668700082,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
27,0.441831834625141,6.08758679092997,267.15002612078,6.52941862555511,2.44410181064445,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
28,0.957059151420632,0,263.252041449613,0.957059151420632,0.363552413934011,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
29,1.48193043252952,0.0558857928174715,262.551730568217,1.53781622534699,0.585719325490193,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
30,2.12204216987953,8.34742712105575,256.695673651399,10.4694692909353,4.07855307493541,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
31,4.47920008382742,0.660393037138948,254.32121833223,5.13959312096637,2.02090614171733,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
32,4.09383286098133,0.301197558495685,249.388280413843,4.39503041947702,1.76232436110621,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
33,3.89063993896637,0.589888889289293,244.113278639676,4.48052882825566,1.83543019585967,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
34,2.59576509537483,0,237.893087197872,2.59576509537483,1.09114776135372,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
35,1.3010160215416,0,238.781155280453,1.3010160215416,0.544857076352415,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
36,0.41040090271182,0,242.581528712269,0.41040090271182,0.1691806069862,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
37,0.220074123201228,0,247.070050798664,0.220074123201228,0.089073573462194,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
38,0.175036013897928,0.161331218922992,253.265050500392,0.33636723282092,0.132812337176542,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
39,0.185481487606698,0,265.437197261663,0.185481487606698,0.0698777298435134,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
40,0.197420085332502,0,282.622358543517,0.197420085332502,0.0698529608024992,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
41,0.356744065358417,0,284.647302999316,0.356744065358417,0.125328454406355,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
42,0.455959294240978,0,285.997042159616,0.455959294240978,0.159427975477629,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
43,0.373995235458573,0.972887319971537,285.893675748896,1.34688255543011,0.471113098917618,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
44,0.443198328246262,0,289.616352505663,0.443198328246262,0.153029455834196,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
45,0.556072021253546,0,288.794774580187,0.556072021253546,0.192549197630703,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
46,0.860680848097468,0,284.168517760184,0.860680848097468,0.302876917851897,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
47,1.15174924378233,0.0160609167527507,277.237051046203,1.16781016053508,0.421231634129762,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
48,0.56965126836259,0,264.566085803211,0.56965126836259,0.215315302652324,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
49,0.520054465302896,0,275.982782615661,0.520054465302896,0.18843728596908,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
50,0.555183272224193,0,273.180694733223,0.555183272224193,0.20322932144468,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
51,0.740574603568552,0,272.34154762563,0.740574603568552,0.271928616850841,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
52,0.732938328159291,2.91602669558997,271.05051985308,3.64896502374926,1.34623059410738,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
53,0.656259890535342,0,249.514043845511,0.656259890535342,0.263015211657453,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
54,1.24062494934952,0,261.62193798622,1.24062494934952,0.474205243986405,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
55,1.56114757445508,0,269.549724283095,1.56114757445508,0.579168677915426,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
56,1.38347917155161,0,273.251602305889,1.38347917155161,0.506302308889259,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
57,0.439143654685945,1.80797496834044,269.366351325399,2.24711862302638,0.834223952609368,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
58,0.338748115789297,0,275.847858114088,0.338748115789297,0.12280251806385,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
59,0.342800039204266,0,274.244392860563,0.342800039204266,0.12499801203905,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
60,0.975251158277716,0,281.290455552181,0.975251158277716,0.34670609650202,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
61,1.12260378456052,16.1249780145534,283.060619286582,17.2475817991139,6.09324668425591,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
62,1.24289445531315,0,267.72819999027,1.24289445531315,0.464237407698674,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
63,3.84507401468696,0,269.753992767818,3.84507401468696,1.4254002230827,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
64,6.19326714891581,0,278.969603600254,6.19326714891581,2.22005088331788,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
65,3.64980462854861,0,276.67444478599,3.64980462854861,1.31916940553428,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
66,0.849742589845783,0,279.337939833122,0.849742589845783,0.304198774557235,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
67,0.547605029090354,0.470803059534407,293.157553559377,1.01840808862476,0.34739275050557,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
68,0.576923113747319,0.269423041943175,290.589772806852,0.846346155690494,0.291251184622055,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
69,0.460282536529918,0,289.160547657076,0.460282536529918,0.159178885314528,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
70,0.618918511997237,0,297.803899275494,0.618918511997237,0.207827538021819,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
71,0.661005765459529,0.352675626607518,291.489901741105,1.01368139206705,0.347758665398768,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
72,0.376773260151861,0.64194647001589,284.054778959434,1.01871973016775,0.358634955517941,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
73,0.567240203249186,0,268.795499956639,0.567240203249186,0.211030394236767,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
74,0.72657532277602,0.555088624716302,249.188753351475,1.28166394749232,0.514334587839349,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
