"","mgm","model","windcase","rcp","wind.damaged.vol","landscape_volume_yearstart","rt","impact","auc","norm.auc","one.minus.norm.auc"
"92","BIOECONOMY","EC-EARTH_RACMO22E-r1","w5","rcp85",74.2941085294441,314.945101198344,25,23.5895425097137,-445.225081516038,0.0890450163032076,0.910954983696792
"93","BIOECONOMY","EC-EARTH_RACMO22E-r1","w6","rcp45",64.4637794718845,282.130656736396,23,22.8489098694848,-436.284969572736,0.0872569939145471,0.912743006085453
"94","BIOECONOMY","EC-EARTH_RACMO22E-r1","w6","rcp85",75.476680236022,310.334719473749,25,24.3210557826117,-440.621367647095,0.088124273529419,0.911875726470581
"95","BIOECONOMY","EC-EARTH_RACMO22E-r1","w7","rcp45",64.9255693423207,283.814148270991,23,22.8760862479374,-377.70088710513,0.075540177421026,0.924459822578974
"96","BIOECONOMY","EC-EARTH_RACMO22E-r1","w7","rcp85",75.511542575405,314.770261070531,25,23.9894144760026,-440.613371593467,0.0881226743186933,0.911877325681307
"97","BIOECONOMY","EC-EARTH_RACMO22E-r1","w8","rcp45",64.5285875041056,279.41282691519,23,23.0943540482814,-383.264940805537,0.0766529881611074,0.923347011838893
"98","BIOECONOMY","EC-EARTH_RACMO22E-r1","w8","rcp85",74.2077741051455,310.727752634244,25,23.8819266950047,-482.817092224956,0.0965634184449912,0.903436581555009
"99","BIOECONOMY","EC-EARTH_RACMO22E-r1","w9","rcp45",66.737154438532,279.852298337713,22,23.8472775942675,-379.555874080351,0.0759111748160701,0.92408882518393
"100","BIOECONOMY","EC-EARTH_RACMO22E-r1","w9","rcp85",78.9290710083327,310.775361498479,25,25.3974673628427,-462.683769553754,0.0925367539107508,0.907463246089249
"101","BIOECONOMY","HadGEM2_CCLM","w5","rcp45",56.4898302083275,230.94161736483,49,24.4606541050969,-614.228559640015,0.122845711928003,0.877154288071997
"102","BIOECONOMY","HadGEM2_CCLM","w5","rcp85",64.9514950930743,224.947127718174,16,28.8741162209677,-278.23322233104,0.0556466444662081,0.944353355533792
"103","BIOECONOMY","HadGEM2_CCLM","w6","rcp45",56.6059100263037,225.565175344825,20,25.0951459771081,-381.88380626795,0.0763767612535899,0.92362323874641
"104","BIOECONOMY","HadGEM2_CCLM","w6","rcp85",62.632432208406,215.238062170961,15,29.0991433284034,-254.591904523636,0.0509183809047272,0.949081619095273
"105","BIOECONOMY","HadGEM2_CCLM","w7","rcp45",55.0394561331611,229.587578380463,20,23.9731855361757,-394.863296406404,0.0789726592812809,0.921027340718719
"106","BIOECONOMY","HadGEM2_CCLM","w7","rcp85",63.3946555553804,225.864899836469,17,28.067510977261,-297.002064968765,0.059400412993753,0.940599587006247
"107","BIOECONOMY","HadGEM2_CCLM","w8","rcp45",55.6455706643806,228.951888992782,46,24.3044820067568,-595.883652305468,0.119176730461094,0.880823269538906
"108","BIOECONOMY","HadGEM2_CCLM","w8","rcp85",60.4108816598528,227.160543256495,17,26.5939149439525,-266.417063959991,0.0532834127919983,0.946716587208002
"109","BIOECONOMY","HadGEM2_CCLM","w9","rcp45",55.0932335900193,226.947948680507,20,24.2757134005113,-391.632221670088,0.0783264443340176,0.921673555665982
"110","BIOECONOMY","HadGEM2_CCLM","w9","rcp85",65.6649082623164,221.035062656215,16,29.7079148770382,-277.663314636614,0.0555326629273228,0.944467337072677
"111","BIOECONOMY","MPI_CCLM","w5","rcp45",69.2885723115943,260.588145234156,26,26.5893033043901,-380.141186680304,0.0760282373360608,0.923971762663939
"112","BIOECONOMY","MPI_CCLM","w5","rcp85",64.9569817277818,253.673850550373,25,25.6064949488686,-382.942331948034,0.0765884663896069,0.923411533610393
"113","BIOECONOMY","MPI_CCLM","w6","rcp45",68.3740843148767,258.049883500732,26,26.4964600593136,-375.922984766862,0.0751845969533724,0.924815403046628
"114","BIOECONOMY","MPI_CCLM","w6","rcp85",62.5859767665691,249.424305442686,24,25.0921724149896,-365.193977536749,0.0730387955073498,0.92696120449265
"115","BIOECONOMY","MPI_CCLM","w7","rcp45",66.1983944090138,259.89409198684,26,25.4712963665083,-376.106459549698,0.0752212919099396,0.92477870809006
