"","rcp","model","mgm","windcase","name","value","minfornorm","max","value.normalized1"
"476","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","shannon_BA_landscape",1.67748349949889,0,2.12717269598936,0.7885977018517
"477","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","shannon_VOL_landscape",1.5960612116529,0,2.0661929449391,0.772464747574646
"478","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","annual.harvest",7.28899357495801,0,9.16575488718929,0.795242035671893
"479","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","standing.volume",273.250432275918,0,483.94324804852,0.56463321552225
"480","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","LAI",3.54729724649399,0,4.68851564070693,0.75659281494028
"481","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","annual.increment",13.1908533388925,0,14.5910502388423,0.904037277849784
"482","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","nat.mortality.volperha",3.2156523129994,0,5.61844159386771,0.572338834403681
"483","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","impact",1.00612006997418,0,4.92439027259723,0.204313633623423
"484","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","NEP",303.19021577776,-388.953367502547,1217.44739498192,0.430866069940005
"485","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","standing.volume.decidious",62.0007097388345,0,128.822861263404,0.481286544412809
"486","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","BA.decidious",6.93495187834747,0,12.4483497074567,0.557098092624548
"487","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","deadwood.c.ag",14974.6555739993,0,37854.244296677,0.395587228122629
"488","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","carbonstock",286674.89740432,0,387627.943172939,0.739562001278173
"489","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","shannon_BA_landscape",1.66984698641962,0,2.12717269598936,0.785007719198353
"490","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","shannon_VOL_landscape",1.58436481691148,0,2.0661929449391,0.766803904152416
"491","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","annual.harvest",7.34183640306528,0,9.16575488718929,0.801007281279881
"492","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","standing.volume",276.297014783272,0,483.94324804852,0.57092854564544
"493","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","LAI",3.57925028513291,0,4.68851564070693,0.763407986539902
"494","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7","annual.increment",13.1973336944767,0,14.5910502388423,0.904481410073176
"495","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","nat.mortality.volperha",3.18951438341846,0,5.61844159386771,0.567686667224534
"496","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","impact",1.39025542124518,0,4.92439027259723,0.282320316686015
"497","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","NEP",394.273187682841,-388.953367502547,1217.44739498192,0.487566100238927
"498","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","standing.volume.decidious",62.080003639119,0,128.822861263404,0.481902071032129
"499","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","BA.decidious",6.92687814655752,0,12.4483497074567,0.556449514139875
"500","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","deadwood.c.ag",14826.4783120896,0,37854.244296677,0.391672812060104
"501","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","carbonstock",284607.990254148,0,387627.943172939,0.734229807904151
"502","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","shannon_BA_landscape",1.69482161321798,0,2.12717269598936,0.796748480465855
"503","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","shannon_VOL_landscape",1.61242923176138,0,2.0661929449391,0.780386573146926
"504","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","annual.harvest",7.29793470255718,0,9.16575488718929,0.796217528439179
"505","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","standing.volume",271.739736330782,0,483.94324804852,0.561511576877167
"506","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","LAI",3.54409255918502,0,4.68851564070693,0.75590929641234
"507","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8","annual.increment",13.2663258868044,0,14.5910502388423,0.909209801189538
"508","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","nat.mortality.volperha",3.1108618174053,0,5.61844159386771,0.553687666843539
